,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Kulzcinsky,Imbalance_Ratio
720,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",Special_Conditions_at_Site|None,0.815663542307469,0.976026735283504,0.796453620794959,0.976448718722714,1.00043234823797,0.000344196506822,1.01791764253683,0.980502743658266,0.285213309278258
721,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.661266839090724,0.815663542307469,0.541488711957013,0.818865668058583,1.00392579241933,0.00211745957381,1.01767818235667,0.980502743658266,0.285213309278258
722,"Special_Conditions_at_Site|None', 'Road_Type|Single carriageway', 'Accident_Severity|3","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.621286653892881,0.813981195047182,0.507665373853722,0.817119393556538,1.00385536979042,0.00194972085113,1.01715982121006,0.980502743658266,0.285213309278258
727,"Special_Conditions_at_Site|None', 'Number_of_Casualties|1', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",Carriageway_Hazards|None,0.613143181789785,0.982690711958483,0.602703662137044,0.982973765406201,1.00028803920122,0.00017355229155,1.01662454761555,0.980502743658266,0.285213309278258
728,"Special_Conditions_at_Site|None', 'Number_of_Casualties|1', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",Carriageway_Hazards|None,0.611780546656289,0.982690711958483,0.601357196352489,0.982962272401812,1.00027634375702,0.00016613539647,1.01593877128065,0.980502743658266,0.285213309278258
729,"Special_Conditions_at_Site|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.797306921436808,0.813981195047182,0.651128657304614,0.816659983499491,1.00329097093226,0.002135816574091,1.01461104075063,0.980502743658266,0.285213309278258
730,"Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.971477268467785,0.815663542307469,0.794813901818243,0.81814976800417,1.00304810202705,0.002415311748626,1.01367183131643,0.980502743658266,0.285213309278258
731,"Special_Conditions_at_Site|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.797306921436808,0.815663542307469,0.65230460995488,0.818134889359015,1.00302986087199,0.00197042210947,1.01358890137221,0.980502743658266,0.285213309278258
732,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres', 'Accident_Severity|3', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.666308736078742,0.810612090704168,0.541488711957013,0.812669386782619,1.00253795385246,0.001370794349773,1.01098216699939,0.980502743658266,0.285213309278258
733,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.97811331626732,0.810612090704168,0.794813901818243,0.812598999113329,1.00245112111199,0.001943421573204,1.01060244288857,0.980502743658266,0.285213309278258
734,"Special_Conditions_at_Site|None', 'Weather_Conditions|Fine without high winds', 'Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.648360023783642,0.815663542307469,0.530060657107642,0.817540621974748,1.00230129161096,0.001217023417721,1.01028765793019,0.980502743658266,0.285213309278258
735,"Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.803016906524259,0.808946647763228,0.651128657304614,0.81085298704722,1.00235656985447,0.001530822674617,1.01007861162718,0.980502743658266,0.285213309278258
736,"Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.808946647763228,0.803016906524259,0.651128657304614,0.804909271958803,1.00235656985447,0.001530822674617,1.00969992502229,0.980502743658266,0.285213309278258
737,"Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.803016906524259,0.810612090704168,0.65230460995488,0.812317405343662,1.00210373698968,0.001369396486457,1.00908616295836,0.980502743658266,0.285213309278258
