,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
371,"frozenset({'Weather_Conditions|Raining without high winds', 'Time_of_Day|Rush Hour', 'Day_of_Week|weekday'})",frozenset({'Road_Type|Single carriageway'}),0.2758074535439096,0.7414749937263194,0.2044890755680252,0.7414196858732455,0.9999254083367046,-1.5254318117330357e-05,0.9997861095758169
639,"frozenset({'Day_of_Week|weekend', 'Time_of_Day|Mid_Day'})","frozenset({'Road_Type|Single carriageway', 'Accident_Severity|3'})",0.0741405057615014,0.6396027628877855,0.04741668346504634,0.6395516590833427,0.9999201007134302,-3.788861907730312e-06,0.999858221557317
708,"frozenset({'Day_of_Week|weekend', 'Time_of_Day|Mid_Day', 'Road_Type|Single carriageway', 'Accident_Severity|3'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.04741668346504634,0.6552478823756885,0.031055747308488188,0.6549540170050321,0.9995515203046654,-1.3934121261754279e-05,0.9991483298309816
141,"frozenset({'Day_of_Week|weekend', 'Time_of_Day|Mid_Day'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.0741405057615014,0.6552478823756885,0.04854388902373302,0.6547552990789036,0.9992482489298569,-3.6520374753303e-05,0.9985732343017265
67,"frozenset({'Road_Type|Single carriageway', 'Accident_Severity|3'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.6396027628877855,0.6552478823756885,0.41877332060770367,0.654739699242317,0.999224441395325,-0.00032503533615740876,0.9985281159396076
68,frozenset({'Weather_Conditions|Raining without high winds'}),"frozenset({'Road_Type|Single carriageway', 'Accident_Severity|3'})",0.6552478823756885,0.6396027628877855,0.41877332060770367,0.639106713461454,0.999224441395325,-0.00032503533615740876,0.9986254955555164
139,"frozenset({'Day_of_Week|weekday', 'Time_of_Day|Night'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.1382924892730347,0.6552478823756885,0.09049732802915925,0.6543907663017611,0.9986919208791337,-0.00011853271545936295,0.9975199850283056
258,"frozenset({'Road_Type|Single carriageway', 'Time_of_Day|Rush Hour'})",frozenset({'Accident_Severity|3'}),0.36972753713813206,0.8704659801957388,0.3213811147816142,0.8692377020907279,0.9985889418622257,-0.00045412823868634655,0.9906067870888661
354,"frozenset({'Weather_Conditions|Raining without high winds', 'Road_Type|Single carriageway', 'Time_of_Day|Rush Hour'})",frozenset({'Accident_Severity|3'}),0.24176502289379173,0.8704659801957388,0.21013333113925925,0.869163490334876,0.9985036866569215,-0.0003148964910304197,0.9900449051706094
637,"frozenset({'Day_of_Week|weekend', 'Road_Type|Single carriageway', 'Time_of_Day|Mid_Day'})",frozenset({'Accident_Severity|3'}),0.05455839459599554,0.8704659801957388,0.04741668346504634,0.8690996833056854,0.9984303845053816,-7.454296486281847e-05,0.9895623102788662
403,"frozenset({'Road_Type|Dual carriageway', 'Time_of_Day|Mid_Day', 'Accident_Severity|3'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.0408180056689389,0.6552478823756885,0.026699138963053162,0.6541019955654102,0.9982512163089733,-4.6772814317901784e-05,0.9966872118497722
78,"frozenset({'Road_Type|Single carriageway', 'Time_of_Day|Rush Hour'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.36972753713813206,0.6552478823756885,0.24176502289379173,0.6539005040445962,0.997943712040385,-0.000498162871948038,0.9961069624577958
1,frozenset({'Road_Type|Single carriageway'}),frozenset({'Weather_Conditions|Raining without high winds'}),0.7414749937263194,0.6552478823756885,0.4848464902356847,0.653894594339675,0.9979346930033456,-0.0010034292380130538,0.9960899540605798
0,frozenset({'Weather_Conditions|Raining without high winds'}),frozenset({'Road_Type|Single carriageway'}),0.6552478823756885,0.7414749937263194,0.4848464902356847,0.7399436202339321,0.9979346930033455,-0.0010034292380130538,0.9941113788719014
39,frozenset({'Time_of_Day|Rush Hour'}),frozenset({'Road_Type|Single carriageway'}),0.49980047638833464,0.7414749937263194,0.36972753713813206,0.7397502695672931,0.9976739280844001,-0.0008620179563198493,0.9933728109683007
641,"frozenset({'Day_of_Week|weekend', 'Time_of_Day|Night', 'Accident_Severity|3'})",frozenset({'Road_Type|Single carriageway'}),0.057759000160441665,0.7414749937263194,0.042714508451984746,0.7395299145299146,0.9973767433657745,-0.00011234582961722195,0.9925324276955089
339,"frozenset({'Weather_Conditions|Raining without high winds', 'Road_Type|Single carriageway', 'Day_of_Week|weekday'})",frozenset({'Accident_Severity|3'}),0.37888916771913655,0.8704659801957388,0.32890541758029285,0.8680781758957655,0.9972568666044406,-0.0009047131838930689,0.9818998538248936
173,frozenset({'Weather_Conditions|Other'}),"frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.12615651701710143,0.6773271241036865,0.0852027530144521,0.6753733776821236,0.9971155054152773,-0.0002464778436789966,0.9939815582356959
253,frozenset({'Accident_Severity|3'}),"frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway'})",0.8704659801957388,0.5756071071544642,0.4994425680540071,0.5737646035766948,0.9967990256637416,-0.0016038366828372563,0.995677262861718
248,"frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway'})",frozenset({'Accident_Severity|3'}),0.5756071071544642,0.8704659801957388,0.4994425680540071,0.8676796409325462,0.9967990256637416,-0.0016038366828372563,0.9789424750444321
489,"frozenset({'Road_Type|Single carriageway', 'Weather_Conditions|Other'})","frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.09702195582506098,0.6773271241036865,0.06548488351523579,0.674949118046133,0.996489132100386,-0.00023071879866767842,0.9926842036444898
697,"frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway', 'Accident_Severity|3', 'Time_of_Day|Night'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.08433060856758502,0.6552478823756885,0.0550520612640335,0.6528123323088931,0.9962830096329881,-0.0002053914193296813,0.9929849176873347
285,frozenset({'Road_Type|Dual carriageway'}),"frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.16273310322981419,0.6773271241036865,0.10980380863834391,0.674747832242081,0.9961919554528123,-0.00041973616877445663,0.9920698703428007
711,"frozenset({'Day_of_Week|weekend', 'Road_Type|Single carriageway', 'Time_of_Day|Mid_Day'})","frozenset({'Weather_Conditions|Raining without high winds', 'Accident_Severity|3'})",0.05455839459599554,0.5714397376984437,0.031055747308488188,0.5692203287588599,0.9961161102507102,-0.00012108738869569258,0.9948479255458147
88,"frozenset({'Road_Type|Dual carriageway', 'Accident_Severity|3'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.14336902817602507,0.6552478823756885,0.09357451692659588,0.6526829268292683,0.9960855187549471,-0.00036773518400497196,0.9926149454070766
511,"frozenset({'Time_of_Day|Mid_Day', 'Weather_Conditions|Other'})","frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway'})",0.03343768898177136,0.5756071071544642,0.019170722275474228,0.5733267716535433,0.9960383819578014,-7.624914925388401e-05,0.9946555458617402
281,frozenset({'Road_Type|One way street'}),"frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.017331813937032817,0.6773271241036865,0.01169167225469909,0.6745786850225493,0.995942227937831,-4.763543477153895e-05,0.9915542130934858
174,"frozenset({'Day_of_Week|weekend', 'Weather_Conditions|Other'})",frozenset({'Accident_Severity|3'}),0.030344044528733457,0.8704659801957388,0.026304205628622793,0.8668655097613883,0.9958637436542427,-0.00010925283518432166,0.9729561406071594
91,"frozenset({'Day_of_Week|weekday', 'Road_Type|Dual carriageway'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.12391856145532934,0.6552478823756885,0.0808296891134158,0.6522807250514574,0.9954717025357285,-0.00036768586723036345,0.9914668022798845
358,"frozenset({'Road_Type|Single carriageway', 'Time_of_Day|Rush Hour'})","frozenset({'Weather_Conditions|Raining without high winds', 'Accident_Severity|3'})",0.36972753713813206,0.5714397376984437,0.21013333113925925,0.568346444427136,0.9945868425535711,-0.0011436757028465416,0.992833851982981
252,frozenset({'Road_Type|Single carriageway'}),"frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.7414749937263194,0.6773271241036865,0.4994425680540071,0.6735797866142912,0.9944674628314137,-0.002778557041439811,0.9885198975561992
249,"frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",frozenset({'Road_Type|Single carriageway'}),0.6773271241036865,0.7414749937263194,0.4994425680540071,0.7373727557639512,0.9944674628314136,-0.002778557041439811,0.9843799984487477
280,"frozenset({'Road_Type|One way street', 'Accident_Severity|3'})",frozenset({'Day_of_Week|weekday'}),0.015196705597768626,0.7738266160384073,0.01169167225469909,0.7693557119653492,0.9942223438941054,-6.794301295412648e-05,0.980615587270098
580,"frozenset({'Day_of_Week|weekday', 'Time_of_Day|Rush Hour', 'Weather_Conditions|Raining with high winds'})",frozenset({'Accident_Severity|3'}),0.030220627861723966,0.8704659801957388,0.026147877850410773,0.8652327797440784,0.9939880471256515,-0.00015815060337543568,0.9611685954364672
29,frozenset({'Weather_Conditions|Fog or mist'}),frozenset({'Road_Type|Single carriageway'}),0.03128201119800559,0.7414749937263194,0.02304600561957224,0.7367175170962651,0.9935837665864558,-0.00014882343721561025,0.9819301437088246
762,"frozenset({'Time_of_Day|Mid_Day', 'Accident_Severity|3', 'Weather_Conditions|Other'})","frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway'})",0.03006841397241226,0.5756071071544642,0.017196055603322376,0.571897660418662,0.9935555925392583,-0.0001115371800607147,0.991335140239061
5,frozenset({'Accident_Severity|2'}),frozenset({'Weather_Conditions|Raining without high winds'}),0.11884202255233896,0.6552478823756885,0.07736579465934942,0.6509969537524231,0.993512487811707,-0.0005051889553144978,0.9878197950735079
286,"frozenset({'Day_of_Week|weekend', 'Road_Type|Dual carriageway'})",frozenset({'Accident_Severity|3'}),0.03881454177448484,0.8704659801957388,0.033565219537681164,0.8647588765235824,0.9934436223792765,-0.000221518613894231,0.9578005304492195
578,"frozenset({'Road_Type|Dual carriageway', 'Weather_Conditions|Raining with high winds'})","frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.015015694486154706,0.6773271241036865,0.010103711139176975,0.6728767123287671,0.9934294499414761,-6.682602354977397e-05,0.9863953073882281
229,"frozenset({'Day_of_Week|weekday', 'Weather_Conditions|Fog or mist'})",frozenset({'Road_Type|Single carriageway'}),0.024670991735197198,0.7414749937263194,0.018158705605996403,0.736034684008671,0.9926628547642479,-0.0001342178360810159,0.9793900585112207
340,"frozenset({'Weather_Conditions|Raining without high winds', 'Accident_Severity|3', 'Day_of_Week|weekday'})",frozenset({'Road_Type|Single carriageway'}),0.4468670679079641,0.7414749937263194,0.32890541758029285,0.7360251878038003,0.9926500475826827,-0.002435338793263575,0.9793548260260964
601,"frozenset({'Day_of_Week|weekday', 'Weather_Conditions|Fog or mist', 'Time_of_Day|Rush Hour'})",frozenset({'Accident_Severity|3'}),0.015365375042681597,0.8704659801957388,0.013275519481320887,0.8639892904953146,0.9925595142742191,-9.951676628209075e-05,0.9523810314348728
219,"frozenset({'Time_of_Day|Rush Hour', 'Weather_Conditions|Raining with high winds'})",frozenset({'Accident_Severity|3'}),0.03662595287951653,0.8704659801957388,0.031644033421233425,0.8639784342356509,0.992547042494838,-0.00023761255263787806,0.9523050192546136
277,"frozenset({'Day_of_Week|weekend', 'Time_of_Day|Mid_Day'})",frozenset({'Road_Type|Single carriageway'}),0.0741405057615014,0.7414749937263194,0.05455839459599554,0.7358783708800356,0.9924520410079405,-0.0004149364483798587,0.9788104334168641
111,"frozenset({'Accident_Severity|2', 'Time_of_Day|Mid_Day'})",frozenset({'Weather_Conditions|Raining without high winds'}),0.031125683419793566,0.6552478823756885,0.02024033338955648,0.6502775574940522,0.9924145884094799,-0.0001547047587593317,0.9857878011887906
320,"frozenset({'Day_of_Week|weekend', 'Time_of_Day|Rush Hour'})",frozenset({'Accident_Severity|3'}),0.08118348355884301,0.8704659801957388,0.07012535019479264,0.8637883855275159,0.9923287126434035,-0.0005421103969602964,0.9509763195004795
65,"frozenset({'Weather_Conditions|Raining without high winds', 'Road_Type|Single carriageway'})",frozenset({'Accident_Severity|3'}),0.4848464902356847,0.8704659801957388,0.41877332060770367,0.8637235270160195,0.9922542025385034,-0.003269054759765355,0.9505237182025402
